,BersaljuBesok,SuhuMin,SuhuMax,Suhu9am,Suhu3pm,Penguapan,SinarMatahari,Awan9am,Awan3pm,Kelembaban9am,Kelembaban3pm
123,0,9.4,21.3,14.6,20.5,4.6,10.0,1.0,5.0,62.0,36.0
128,1,1.0,22.4,12.6,21.1,4.0,8.8,1.0,4.0,70.0,28.0
132,1,9.3,15.0,10.1,11.5,1.0,4.8,7.0,7.0,100.0,88.0
136,0,16.7,35.2,24.3,34.5,9.0,13.1,0.0,1.0,67.0,33.0
137,0,12.4,29.5,16.7,27.5,6.9,12.4,1.0,1.0,70.0,29.0
138,0,17.2,25.6,22.0,24.7,4.6,10.9,2.0,3.0,66.0,49.0
140,0,13.8,26.1,18.5,24.9,3.6,9.1,1.0,5.0,66.0,46.0
142,1,8.3,18.4,10.5,17.6,2.0,3.4,6.0,7.0,79.0,46.0
143,0,23.8,32.9,29.1,31.5,5.6,10.9,1.0,1.0,62.0,45.0
151,0,10.2,23.4,17.6,21.7,6.6,10.8,6.0,4.0,54.0,40.0
153,0,12.3,19.3,15.4,18.4,3.2,4.8,5.0,4.0,73.0,53.0
155,0,7.2,16.5,12.1,16.1,2.6,9.0,2.0,5.0,66.0,59.0
159,0,25.8,33.6,30.3,32.2,7.4,10.4,6.0,6.0,70.0,68.0
160,0,7.1,17.3,11.5,16.6,3.0,10.2,1.0,4.0,60.0,45.0
162,1,9.6,23.4,14.4,23.0,1.2,9.1,0.0,0.0,66.0,26.0
163,0,20.0,26.1,23.9,23.0,8.4,8.2,4.0,7.0,56.0,56.0
164,1,19.8,29.2,21.9,25.3,8.6,2.4,7.0,7.0,75.0,62.0
167,1,12.5,25.3,20.9,17.0,4.0,4.6,7.0,8.0,69.0,93.0
169,0,10.2,24.3,16.4,23.4,4.8,9.9,1.0,1.0,67.0,36.0
170,0,16.2,23.5,22.2,23.4,6.6,8.7,5.0,4.0,46.0,51.0
172,0,14.8,23.0,20.9,22.1,4.0,9.8,1.0,1.0,60.0,58.0
174,0,9.7,12.3,10.6,10.9,1.2,6.6,5.0,2.0,63.0,61.0
176,0,6.2,23.7,13.8,23.4,2.8,9.3,0.0,0.0,66.0,33.0
179,1,9.5,16.1,11.1,14.3,5.6,4.7,6.0,7.0,80.0,55.0
199,0,12.7,19.9,18.2,19.6,5.6,10.7,1.0,1.0,56.0,57.0
200,0,15.9,26.0,21.5,23.8,7.2,5.0,6.0,6.0,59.0,51.0
203,1,17.0,32.6,25.5,32.3,6.8,1.6,7.0,7.0,47.0,22.0
205,1,19.7,22.1,20.5,21.3,3.2,0.2,8.0,8.0,93.0,90.0
206,0,8.1,25.8,19.8,25.2,4.4,12.3,0.0,2.0,41.0,22.0
208,1,14.0,25.6,16.7,24.1,7.8,5.0,5.0,7.0,54.0,26.0
213,0,14.6,18.3,16.9,17.2,2.8,1.6,7.0,7.0,60.0,56.0
214,0,20.4,28.4,25.6,27.5,9.6,11.0,3.0,2.0,65.0,52.0
215,0,14.0,21.8,15.6,20.6,8.0,9.4,7.0,6.0,74.0,49.0
218,0,3.2,20.4,16.0,20.2,3.2,10.9,1.0,0.0,33.0,28.0
220,0,4.4,18.0,16.5,15.5,3.2,4.3,7.0,7.0,45.0,60.0
221,1,22.9,32.8,23.4,32.0,7.4,4.4,8.0,5.0,96.0,61.0
224,1,8.3,14.4,12.8,14.1,1.2,0.2,7.0,7.0,89.0,89.0
229,0,11.8,27.5,15.7,25.9,6.8,11.7,4.0,6.0,82.0,32.0
231,0,19.6,29.9,25.2,28.2,9.8,10.5,2.0,1.0,63.0,50.0
233,1,6.7,12.5,8.4,11.8,1.8,3.1,8.0,4.0,62.0,81.0
236,0,13.7,33.9,20.1,31.2,9.8,13.2,0.0,0.0,49.0,16.0
238,0,17.8,26.1,18.0,23.9,11.0,9.9,7.0,1.0,70.0,23.0
244,0,12.4,22.1,16.2,21.4,1.2,4.5,6.0,7.0,65.0,49.0
245,0,2.6,22.8,10.8,22.8,3.4,5.5,7.0,7.0,65.0,30.0
246,0,10.4,26.4,17.3,25.9,8.4,12.7,0.0,1.0,37.0,19.0
249,0,6.0,16.7,12.8,16.4,3.6,2.5,7.0,6.0,57.0,51.0
257,0,25.0,32.7,26.7,31.9,6.2,4.0,7.0,7.0,84.0,59.0
260,0,17.8,26.5,21.9,24.5,5.2,3.1,7.0,7.0,79.0,67.0
261,0,13.0,21.0,16.6,20.3,5.8,2.8,7.0,8.0,42.0,38.0
269,1,9.9,20.7,13.8,19.2,1.8,7.5,5.0,6.0,84.0,49.0
270,0,16.1,19.9,18.4,17.1,3.6,9.0,1.0,7.0,64.0,78.0
282,0,9.4,18.5,14.4,16.6,4.8,2.1,5.0,7.0,77.0,62.0
287,0,17.1,28.5,22.1,26.7,10.4,12.0,1.0,1.0,56.0,47.0
288,0,8.3,15.9,12.3,15.3,4.2,9.9,7.0,7.0,47.0,39.0
289,0,8.8,19.5,16.2,18.1,2.8,5.9,6.0,7.0,57.0,69.0
290,0,19.0,32.0,26.1,30.4,7.2,12.9,5.0,2.0,57.0,52.0
294,0,14.6,26.1,21.5,23.2,4.8,7.9,2.0,7.0,61.0,55.0
303,0,18.1,32.4,22.6,30.9,8.0,8.7,6.0,7.0,36.0,25.0
306,0,16.4,25.2,21.4,23.9,1.6,6.7,6.0,4.0,82.0,65.0
308,0,16.5,32.9,27.5,30.9,9.8,11.5,7.0,6.0,41.0,33.0
313,0,9.3,26.9,20.5,26.7,3.4,10.8,3.0,0.0,32.0,23.0
320,0,8.1,19.7,13.3,17.1,2.4,7.5,7.0,3.0,73.0,46.0
321,0,18.5,32.1,24.7,29.9,5.6,11.1,0.0,0.0,64.0,46.0
323,0,11.1,17.4,16.0,16.9,2.2,0.5,7.0,7.0,85.0,66.0
329,1,22.2,25.5,23.2,22.9,4.8,3.0,7.0,7.0,68.0,80.0
331,0,9.6,20.5,12.4,19.8,2.6,7.6,2.0,7.0,76.0,40.0
332,1,8.3,11.0,8.7,9.9,0.8,0.0,8.0,8.0,88.0,92.0
336,0,2.7,22.4,14.3,22.0,6.2,11.2,0.0,0.0,34.0,17.0
337,0,13.2,23.4,17.1,23.2,6.0,8.7,2.0,3.0,69.0,42.0
339,1,12.3,22.4,16.5,20.7,5.4,8.3,2.0,5.0,65.0,47.0
343,1,16.9,23.6,20.4,22.6,4.8,0.4,7.0,8.0,62.0,57.0
344,0,23.7,30.4,25.0,28.9,6.2,1.3,8.0,7.0,96.0,68.0
345,1,10.7,11.6,10.7,10.8,0.6,0.0,8.0,8.0,90.0,76.0
346,0,10.1,26.1,19.4,24.5,5.6,10.6,0.0,2.0,45.0,27.0
347,1,14.7,23.7,16.0,20.6,4.6,4.7,7.0,7.0,91.0,63.0
352,0,17.6,29.7,22.8,29.5,5.0,12.5,1.0,4.0,69.0,42.0
353,0,9.9,29.6,17.8,26.5,9.6,12.0,5.0,6.0,84.0,35.0
354,0,13.2,22.9,19.4,21.9,5.2,9.8,1.0,4.0,70.0,64.0
356,0,6.1,22.5,15.0,22.1,7.4,11.0,1.0,0.0,35.0,16.0
359,1,17.5,22.8,18.4,21.2,7.0,5.3,6.0,7.0,76.0,63.0
360,0,12.5,22.8,17.4,18.7,2.2,3.3,8.0,7.0,83.0,54.0
361,0,13.0,25.5,19.5,24.4,5.0,10.7,1.0,1.0,40.0,30.0
363,0,8.4,24.5,15.8,23.8,3.4,10.6,0.0,1.0,68.0,28.0
365,0,10.8,17.0,12.0,16.1,5.4,7.4,7.0,4.0,58.0,39.0
367,0,5.7,19.7,12.6,18.3,5.2,10.8,1.0,1.0,53.0,29.0
369,0,15.1,20.9,18.4,18.1,10.0,5.2,7.0,7.0,44.0,51.0
370,1,15.6,24.5,19.5,20.6,2.8,4.1,7.0,7.0,69.0,67.0
371,0,10.0,24.9,16.8,23.7,5.0,9.3,4.0,6.0,49.0,29.0
375,0,15.0,30.1,20.9,28.4,11.6,9.8,0.0,3.0,41.0,12.0
378,0,19.4,28.8,24.6,27.2,6.4,10.0,1.0,1.0,65.0,47.0
379,1,18.2,32.6,23.5,31.9,9.2,13.0,1.0,3.0,47.0,22.0
381,0,9.5,19.2,14.5,17.7,2.6,8.6,5.0,3.0,61.0,39.0
383,0,21.0,37.1,34.2,26.8,11.4,5.6,4.0,7.0,28.0,48.0
386,0,15.6,28.7,25.0,26.9,10.0,10.7,1.0,1.0,48.0,51.0
387,1,19.7,28.9,24.5,27.5,7.0,7.3,5.0,7.0,67.0,44.0
388,0,5.6,18.8,14.2,17.4,6.1,7.2,2.0,7.0,55.0,52.0
389,0,-0.4,12.4,3.3,11.6,0.0,4.3,1.0,7.0,94.0,57.0
391,0,19.6,28.0,22.3,25.5,7.4,9.8,5.0,5.0,67.0,49.0
402,1,23.2,29.9,26.9,29.0,5.2,6.4,5.0,4.0,80.0,69.0
403,0,10.2,21.6,15.2,20.6,5.4,9.5,6.0,4.0,57.0,38.0
405,0,11.0,28.3,19.5,28.3,8.0,11.1,0.0,0.0,48.0,25.0
409,0,5.8,16.4,12.1,16.1,3.8,9.6,1.0,3.0,53.0,32.0
412,0,13.4,22.9,17.9,22.0,8.2,13.1,7.0,1.0,51.0,44.0
415,1,24.0,27.8,24.9,25.5,6.6,0.8,8.0,8.0,94.0,93.0
417,0,14.7,30.2,24.5,28.0,8.0,12.8,7.0,3.0,50.0,41.0
424,1,13.5,23.8,18.8,22.7,6.2,4.0,2.0,7.0,69.0,58.0
428,1,27.5,34.7,32.3,32.5,8.0,11.0,3.0,2.0,69.0,68.0
429,1,18.9,28.0,24.1,25.7,1.6,3.7,5.0,7.0,64.0,55.0
430,0,9.9,25.1,15.8,25.0,2.4,10.1,1.0,3.0,56.0,29.0
433,0,18.5,28.0,21.7,26.5,8.6,10.8,1.0,5.0,43.0,31.0
434,0,12.1,29.9,21.4,27.6,4.0,11.1,0.0,5.0,60.0,25.0
435,0,18.8,25.5,23.2,24.1,9.2,7.9,7.0,7.0,61.0,57.0
436,0,9.8,20.1,14.9,14.9,8.2,6.4,4.0,7.0,55.0,75.0
442,0,13.9,25.6,18.3,24.4,4.8,11.4,1.0,1.0,65.0,36.0
447,1,21.8,28.9,24.4,28.5,8.0,7.4,7.0,3.0,61.0,56.0
454,0,6.7,20.2,14.0,19.3,4.6,9.8,1.0,1.0,54.0,31.0
455,1,10.5,15.6,13.7,15.5,0.8,1.6,8.0,6.0,96.0,89.0
459,0,18.0,30.3,23.1,28.9,11.4,13.4,1.0,2.0,48.0,27.0
460,1,3.5,17.2,7.6,16.8,2.0,5.8,7.0,3.0,79.0,52.0
461,0,5.2,16.2,10.3,15.6,3.0,7.7,7.0,6.0,95.0,54.0
463,0,11.7,24.3,16.7,22.6,4.4,11.2,1.0,1.0,47.0,43.0
467,0,13.0,19.9,18.0,18.7,4.2,2.0,7.0,7.0,59.0,55.0
468,1,7.0,12.5,8.9,10.7,1.2,2.1,4.0,5.0,90.0,86.0
471,0,16.6,24.0,18.6,22.5,5.8,10.6,4.0,1.0,59.0,39.0
473,0,12.7,30.6,22.2,29.1,7.8,11.9,1.0,0.0,58.0,42.0
476,0,9.6,22.7,15.0,20.6,4.0,11.0,2.0,6.0,56.0,50.0
478,0,11.9,18.9,17.1,17.8,4.0,11.2,4.0,1.0,55.0,53.0
481,0,10.8,29.1,14.7,28.0,5.2,11.3,0.0,1.0,67.0,23.0
488,0,17.3,22.9,18.5,21.2,7.4,4.0,8.0,6.0,65.0,59.0
490,0,16.3,28.8,22.3,27.2,11.0,13.2,1.0,1.0,48.0,45.0
492,0,0.3,17.1,9.9,16.4,2.8,8.5,3.0,5.0,71.0,36.0
493,0,13.6,27.1,23.6,25.9,6.4,10.7,1.0,1.0,62.0,54.0
496,0,5.8,15.0,7.5,14.3,1.6,6.4,7.0,7.0,76.0,40.0
498,0,5.7,12.2,9.9,11.1,0.8,5.1,7.0,6.0,76.0,52.0
499,0,11.6,17.0,12.3,15.7,1.2,3.8,7.0,7.0,70.0,58.0
501,1,24.7,33.3,30.4,29.6,6.6,9.1,3.0,4.0,77.0,72.0
505,0,14.7,30.1,19.6,30.1,8.2,10.8,0.0,0.0,49.0,19.0
506,0,14.0,19.9,15.9,18.2,6.0,3.0,8.0,8.0,99.0,76.0
507,0,8.2,18.3,13.6,17.7,0.4,7.9,3.0,5.0,66.0,48.0
508,0,12.4,22.9,15.0,21.0,3.2,9.8,6.0,5.0,53.0,38.0
511,0,1.4,24.6,12.4,24.1,4.0,10.5,0.0,0.0,36.0,7.0
512,0,10.7,23.0,15.9,22.2,5.2,10.3,7.0,1.0,74.0,58.0
515,0,15.1,25.9,18.3,25.4,5.8,11.1,6.0,3.0,57.0,37.0
520,1,9.1,18.9,15.2,16.4,4.2,0.6,7.0,7.0,60.0,75.0
521,0,8.8,22.5,15.3,19.2,4.0,3.0,4.0,7.0,73.0,61.0
522,0,19.7,29.3,25.5,28.6,6.8,10.7,2.0,1.0,69.0,68.0
523,0,4.1,12.1,7.0,10.1,0.8,3.3,8.0,7.0,78.0,63.0
529,0,20.6,23.3,21.8,22.0,2.6,2.1,8.0,8.0,79.0,81.0
531,0,7.3,26.6,15.5,24.7,3.5,10.1,0.0,2.0,73.0,29.0
533,0,21.0,25.8,23.9,24.5,5.6,10.2,3.0,4.0,79.0,76.0
540,1,16.6,23.0,21.7,19.0,2.6,2.3,7.0,7.0,79.0,95.0
542,1,5.2,11.3,6.6,10.1,1.8,3.5,8.0,7.0,99.0,74.0
547,1,9.0,15.1,11.4,13.2,1.6,0.1,7.0,8.0,79.0,68.0
551,0,6.5,21.3,15.7,20.3,3.6,8.4,0.0,6.0,52.0,32.0
552,0,17.5,27.7,23.5,26.3,6.6,10.7,2.0,2.0,61.0,52.0
554,1,10.5,19.6,15.7,19.4,3.8,6.9,3.0,4.0,80.0,56.0
557,0,10.7,17.1,13.9,15.6,8.2,0.4,8.0,8.0,64.0,51.0
558,0,17.1,27.9,19.7,26.2,6.2,5.7,6.0,5.0,79.0,45.0
568,0,3.5,19.2,12.0,18.4,3.2,10.5,0.0,0.0,33.0,20.0
572,0,22.6,30.4,26.1,28.2,4.6,10.4,5.0,1.0,64.0,59.0
574,0,13.4,24.4,19.4,22.5,3.6,9.5,3.0,2.0,66.0,45.0
575,0,12.4,23.2,16.5,22.3,7.0,12.5,2.0,5.0,77.0,64.0
579,0,12.3,23.2,16.1,22.3,4.0,10.3,1.0,0.0,62.0,33.0
581,0,13.8,27.8,18.2,25.8,6.6,13.5,0.0,0.0,69.0,36.0
585,0,8.5,19.6,12.1,16.7,3.2,4.4,6.0,8.0,88.0,58.0
589,0,20.2,24.7,22.4,23.5,4.4,4.6,5.0,7.0,60.0,54.0
593,0,18.7,38.2,27.2,34.0,2.4,7.0,7.0,4.0,46.0,29.0
594,0,15.3,30.0,19.4,29.1,10.6,11.5,5.0,1.0,41.0,16.0
595,0,11.7,26.0,22.7,25.0,5.0,10.2,1.0,5.0,60.0,49.0
599,1,27.3,30.4,29.3,27.9,7.4,0.3,7.0,7.0,75.0,84.0
601,0,10.3,23.8,16.1,23.1,3.8,9.7,5.0,1.0,57.0,37.0
605,0,6.9,13.4,8.9,11.4,3.0,0.5,7.0,7.0,80.0,72.0
608,0,20.0,29.8,25.5,27.7,7.2,10.0,2.0,2.0,65.0,54.0
610,0,22.1,34.1,27.4,32.9,6.6,9.6,7.0,6.0,49.0,35.0
612,0,11.9,23.9,16.4,22.1,5.6,8.7,5.0,5.0,48.0,30.0
613,0,20.2,22.4,21.3,20.8,7.0,7.0,5.0,6.0,74.0,62.0
617,1,9.6,12.8,10.6,11.7,2.8,0.1,8.0,8.0,85.0,88.0
618,0,10.1,20.7,16.6,19.0,7.6,12.9,1.0,1.0,64.0,64.0
619,0,8.7,26.1,15.7,25.2,8.4,11.0,0.0,0.0,53.0,20.0
621,1,14.0,20.5,15.4,19.1,2.6,6.3,8.0,2.0,87.0,68.0
622,1,21.7,28.7,24.8,26.4,6.8,4.6,7.0,7.0,91.0,77.0
624,0,11.5,28.4,19.3,26.7,8.0,12.0,3.0,6.0,50.0,26.0
628,0,0.2,14.7,6.6,13.3,3.2,3.5,4.0,7.0,60.0,44.0
629,0,12.7,22.1,19.7,21.9,3.2,11.9,5.0,6.0,64.0,53.0
632,0,20.0,34.1,24.1,33.1,8.8,12.2,1.0,1.0,51.0,33.0
634,1,4.2,10.9,5.3,9.8,1.2,5.0,6.0,8.0,96.0,94.0
636,0,9.5,17.6,12.8,17.1,3.2,4.6,7.0,5.0,45.0,43.0
637,0,7.8,23.8,16.7,23.4,2.6,9.5,0.0,0.0,69.0,43.0
641,0,10.6,24.0,16.7,23.1,4.0,11.5,2.0,3.0,54.0,37.0
644,0,5.9,23.4,17.0,21.6,6.0,11.4,0.0,1.0,46.0,38.0
645,0,6.1,23.2,14.2,22.5,4.4,10.1,1.0,0.0,42.0,14.0
646,0,21.4,28.3,24.5,26.5,3.6,6.0,6.0,3.0,71.0,69.0
647,0,25.0,31.8,29.2,31.4,11.8,2.1,7.0,7.0,52.0,43.0
652,0,20.5,36.1,24.4,33.2,12.2,13.2,0.0,1.0,48.0,24.0
653,0,15.7,23.0,18.3,20.6,7.8,6.1,7.0,7.0,74.0,58.0
655,0,7.7,16.7,12.4,15.4,1.4,7.6,7.0,3.0,80.0,66.0
657,0,0.1,14.6,2.6,14.0,2.4,8.8,3.0,6.0,100.0,53.0
658,0,8.7,15.2,10.7,14.4,2.8,1.4,8.0,7.0,83.0,64.0
662,0,10.3,25.2,18.0,24.0,5.2,8.1,7.0,3.0,75.0,53.0
663,0,16.2,28.6,22.0,26.8,6.4,8.5,1.0,7.0,52.0,38.0
664,0,16.4,24.7,22.1,21.7,5.8,9.0,2.0,5.0,72.0,71.0
667,0,12.2,19.8,15.9,18.5,7.6,10.9,5.0,5.0,66.0,57.0
668,0,21.5,28.9,25.4,28.0,4.2,10.7,1.0,1.0,63.0,54.0
671,0,17.3,27.4,22.3,26.5,3.6,9.9,2.0,2.0,77.0,56.0
672,0,8.8,18.3,13.0,16.8,5.2,2.8,7.0,8.0,91.0,85.0
674,0,17.5,29.9,20.9,29.2,7.0,8.8,6.0,2.0,75.0,33.0
680,1,18.3,23.1,19.6,21.7,7.6,0.9,7.0,6.0,75.0,55.0
681,0,20.3,28.8,25.1,28.1,7.8,10.7,7.0,7.0,59.0,52.0
682,0,6.6,13.5,8.6,12.9,4.4,7.6,6.0,5.0,97.0,48.0
686,0,20.8,34.2,24.3,32.6,9.6,11.6,1.0,1.0,69.0,41.0
688,0,13.9,20.0,16.9,18.0,5.6,8.8,7.0,7.0,56.0,48.0
689,0,6.1,17.1,10.0,15.9,1.4,6.2,5.0,7.0,78.0,59.0
690,1,5.1,12.7,10.6,11.1,0.6,0.2,7.0,7.0,74.0,84.0
696,0,16.1,29.3,21.0,28.2,8.0,13.5,1.0,1.0,48.0,30.0
699,1,13.9,16.5,15.1,14.3,3.4,2.5,7.0,8.0,91.0,94.0
700,0,14.0,26.2,18.3,25.7,9.0,13.0,3.0,1.0,54.0,32.0
702,0,6.1,16.3,8.3,15.9,0.6,6.0,0.0,2.0,96.0,65.0
706,1,16.6,21.1,17.0,18.2,1.9,1.0,6.0,8.0,94.0,84.0
707,1,17.2,20.7,18.7,19.8,2.8,0.0,8.0,8.0,93.0,91.0
708,0,6.5,12.2,9.2,12.0,3.6,0.3,8.0,8.0,79.0,81.0
709,0,6.9,13.1,8.7,12.4,0.6,6.5,7.0,2.0,88.0,60.0
711,0,23.0,38.9,25.0,37.5,7.2,8.4,7.0,1.0,28.0,20.0
714,0,25.4,32.4,29.5,31.9,5.2,10.5,7.0,7.0,77.0,63.0
715,0,4.6,13.4,7.5,10.8,1.2,8.4,1.0,1.0,78.0,58.0
717,0,16.2,30.7,22.0,29.5,7.6,12.2,1.0,1.0,47.0,20.0
720,1,11.9,17.3,15.9,15.8,7.4,2.6,7.0,7.0,68.0,66.0
724,0,8.3,18.8,9.7,18.1,3.6,6.8,6.0,6.0,84.0,64.0
728,0,7.4,17.5,12.3,16.5,1.2,1.2,6.0,6.0,72.0,49.0
729,1,13.9,17.8,15.1,15.9,12.2,4.3,7.0,5.0,99.0,73.0
736,0,15.8,31.7,18.5,30.3,8.4,11.6,2.0,3.0,70.0,30.0
738,1,5.9,13.4,8.8,11.4,1.2,5.2,8.0,8.0,95.0,82.0
742,0,20.9,22.4,21.1,21.8,5.2,1.1,7.0,7.0,86.0,59.0
750,1,2.8,16.7,7.0,15.6,1.0,5.9,0.0,7.0,85.0,40.0
751,1,12.0,20.8,15.2,20.0,7.0,1.4,7.0,7.0,71.0,69.0
753,0,15.4,23.9,18.2,22.4,4.8,1.4,8.0,8.0,86.0,57.0
754,0,12.8,27.4,21.4,26.2,7.6,12.3,3.0,2.0,65.0,50.0
756,0,18.9,22.2,20.6,20.9,10.6,0.0,7.0,7.0,48.0,49.0
763,0,6.7,19.8,13.5,18.9,2.6,9.9,1.0,6.0,60.0,32.0
766,0,21.3,30.0,23.6,27.6,7.4,8.0,7.0,7.0,82.0,64.0
770,0,18.3,23.1,20.4,22.1,5.6,2.9,7.0,7.0,88.0,67.0
771,0,25.9,32.9,29.7,32.1,6.4,10.6,7.0,7.0,80.0,63.0
774,0,3.8,10.5,5.4,9.4,1.0,5.7,7.0,3.0,94.0,76.0
777,1,11.0,14.2,11.9,9.5,2.8,4.0,7.0,6.0,74.0,71.0
781,1,23.3,30.3,25.9,24.3,8.8,1.8,7.0,8.0,87.0,91.0
785,0,5.0,23.6,10.7,22.5,8.6,11.3,1.0,0.0,50.0,22.0
786,0,3.6,17.4,10.9,17.1,2.4,10.2,6.0,3.0,71.0,45.0
788,0,25.9,33.9,29.7,32.5,8.2,10.7,7.0,6.0,71.0,55.0
792,0,6.2,19.6,15.2,17.3,1.4,4.1,7.0,7.0,97.0,70.0
802,0,14.4,21.7,18.9,21.2,3.6,9.8,2.0,2.0,71.0,63.0
806,0,2.7,21.1,10.7,20.0,5.2,10.4,3.0,1.0,48.0,20.0
817,0,14.0,25.7,15.8,23.5,2.8,11.3,1.0,0.0,65.0,36.0
819,0,10.0,19.7,12.9,18.9,3.6,1.8,7.0,7.0,49.0,33.0
821,0,3.4,19.3,11.1,18.4,3.2,10.5,0.0,1.0,57.0,24.0
822,0,12.9,31.6,26.3,29.6,9.6,12.0,1.0,0.0,53.0,48.0
823,1,8.2,15.3,11.1,14.4,1.0,5.8,6.0,7.0,65.0,63.0
825,0,7.1,17.3,14.6,16.8,4.0,3.5,7.0,7.0,69.0,68.0
826,0,3.1,13.7,6.4,12.1,1.8,5.5,1.0,7.0,95.0,49.0
828,0,13.2,21.0,14.7,19.4,4.0,2.4,8.0,7.0,70.0,58.0
830,0,15.8,21.5,18.8,19.0,5.8,10.8,1.0,6.0,51.0,52.0
832,0,10.5,21.3,15.2,19.5,3.7,4.8,7.0,4.0,90.0,67.0
837,0,7.3,15.6,10.9,14.5,0.8,5.6,3.0,2.0,78.0,54.0
839,0,11.3,24.9,17.0,24.6,5.6,10.2,0.0,0.0,50.0,29.0
840,0,23.7,31.7,30.2,30.3,7.6,12.1,2.0,1.0,62.0,66.0
845,1,15.0,20.0,17.9,19.1,2.0,0.0,8.0,8.0,94.0,90.0
